Vol
216213.4464
224016.2361
200000
195185.9239
197171.7163
186166
151059.4879
186650.7781
144230
198497.496
204560.4879
177526
148840
140527.6259
200000
110132.5383
122086.0907
126111.5517
96604.38149
121316
121320
150168
147800
158309
181035
177526
175352
183790
163325
150340
135855.2812
136303.5759
144309
169514
179582.841
193389.496
