Vol
711020.7711
705062.2156
775543
672974
713771.5879
827445.646
624345.3116
998829.6851
967810.0344
931455
849367.3635
698329.5214
726247.3811
752217.3811
755848
726623
791997.4314
1039492
727808
1134794
1320000
1124599
1060255
746121
816582
870000
900000
970000
1046705
904155
1106907
1051630.077
1090880.949
865196.1739
873742.8813
636289.59
